keys,_where,_size,_least,_width,_note,en,qps
MENU_CONTINUE,menu.gd,20,13,196,"The main menu's doors, stacked under the logo.",Continue,[Çóñtíñúé·ëxtr]
MENU_NEW,menu.gd,20,13,196,"The main menu's doors, stacked under the logo.",New game,[Ñéw gámé·ëxtr]
MENU_SETTINGS,menu.gd,20,13,196,"The main menu's doors, stacked under the logo.",Settings,[Séttíñgs·ëxtr]
MENU_HOW,menu.gd,20,13,196,"The main menu's doors, stacked under the logo.",How to play,[Hów tó pláy·ëxtrà]
MENU_CREDITS,menu.gd,20,13,196,"The main menu's doors, stacked under the logo.",Credits,[Çrédíts·ëxt]
MENU_QUIT,menu.gd,20,13,196,"The main menu's doors, stacked under the logo.",Quit,[Qúít·ëx]
CONFIRM_NEW_TITLE,menu_confirm.gd,20,16,358,,Start over?,[Stárt óvér?·ëxtrà]
CONFIRM_NEW_WORDS,menu_confirm.gd,16,13,358,"One line, never wrapped.",The saved lake will be thrown away.,[Thé sávéd láké wíll bé thrówñ áwáy.·ëxtràlóngëxtrà]
CONFIRM_NEW_YES,menu_confirm.gd,16,13,160,A button. Red: it deletes the save.,Start over,[Stárt óvér·ëxtr]
CONFIRM_NEW_NO,menu_confirm.gd,16,13,160,,Keep it,[Kéép ít·ëxt]
SETTINGS_TITLE,settings_skin.gd,20,16,300,,Settings,[Séttíñgs·ëxtr]
SETTINGS_MASTER,settings_skin.gd,16,13,300,,Master,[Mástér·ëxt]
SETTINGS_MUSIC,settings_skin.gd,16,13,300,,Music,[Músíç·ëx]
SETTINGS_SFX,settings_skin.gd,16,13,300,,Sound effects,[Sóúñd éfféçts·ëxtràl]
SETTINGS_AMBIENCE,settings_skin.gd,16,13,300,,Ambience,[Ámbíéñçé·ëxtr]
SETTINGS_WINDOW,settings_skin.gd,16,13,170,,Window,[Wíñdów·ëxt]
SETTINGS_RESOLUTION,settings_skin.gd,16,13,170,,Resolution,[Résólútíóñ·ëxtr]
SETTINGS_VSYNC,settings_skin.gd,16,13,170,,VSync,[VSyñç·ëx]
SETTINGS_FPS,settings_skin.gd,16,13,170,,Frame cap,[Frámé çáp·ëxtr]
SETTINGS_GROUP_MIX,settings_skin.gd,13,11,300,"Heading over Music, Sound effects and Ambience.",Mix,[Míx·ëx]
SETTINGS_GROUP_SCREEN,settings_skin.gd,13,11,300,Heading over the display rows.,Screen,[Sçrééñ·ëxt]
SETTINGS_CONTROLS,settings_skin.gd,16,13,380,Opens the key-binding board.,Controls,[Çóñtróls·ëxtr]
SETTINGS_QUIT,settings_skin.gd,16,13,380,,Save and go to menu,[Sávé áñd gó tó méñú·ëxtràlón]
SETTINGS_DEAD_SIZE,settings_skin.gd,13,13,140,Why Resolution cannot be changed in fullscreen. Dropped entirely if it does not fit.,set by Window,[sét by Wíñdów·ëxtràl]
WINDOW_WINDOWED,settings_skin.gd,16,13,140,,Windowed,[Wíñdówéd·ëxtr]
WINDOW_BORDERLESS,settings_skin.gd,16,13,140,,Borderless,[Bórdérléss·ëxtr]
WINDOW_EXCLUSIVE,settings_skin.gd,16,13,140,,Exclusive,[Éxçlúsívé·ëxtr]
VSYNC_OFF,settings_skin.gd,16,13,140,,Off,[Óff·ëx]
VSYNC_ON,settings_skin.gd,16,13,140,,On,[Óñ·ë]
VSYNC_ADAPTIVE,settings_skin.gd,16,13,140,,Adaptive,[Ádáptívé·ëxtr]
FPS_UNCAPPED,settings_skin.gd,16,13,140,,Uncapped,[Úñçáppéd·ëxtr]
KEEP_MODE_TITLE,settings_skin.gd,20,16,358,Asked after switching to exclusive fullscreen.,Keep this?,[Kéép thís?·ëxtr]
KEEP_MODE_YES,settings_skin.gd,16,13,160,,Keep it,[Kéép ít·ëxt]
KEEP_MODE_NO,settings_skin.gd,16,13,160,,Put it back,[Pút ít báçk·ëxtrà]
KEEP_MODE_WORDS,settings_skin.gd,16,13,358,%d is a countdown.,Putting it back in %d seconds.,[Púttíñg ít báçk íñ %d séçóñds.·ëxtràlóngëxt]
CONTROLS_TITLE,controls_skin.gd,20,16,400,,Controls,[Çóñtróls·ëxtr]
CONTROLS_DEFAULT,controls_skin.gd,16,13,380,,Set to default,[Sét tó défáúlt·ëxtràl]
CONTROLS_CAPTURING,controls_skin.gd,13,11,140,Shown in a cell while it waits for a key.,Press…,[Préss…·ëxt]
CONTROLS_COL_KEY,controls_skin.gd,13,11,140,,Keyboard,[Kéybóárd·ëxtr]
CONTROLS_COL_PAD,controls_skin.gd,13,11,140,,Gamepad,[Gámépád·ëxt]
CONTROLS_HINT,controls_skin.gd,11,11,314,The · is kept.,Click a cell and press · right-click resets,[Çlíçk á çéll áñd préss · ríght-çlíçk réséts·ëxtràlóngëxtràlóng]
CONTROLS_MOVED,controls_skin.gd,16,13,300,Follows a verb whose key was taken by another.,— moved here,[— móvéd héré·ëxtrà]
CONFIRM_BINDS_TITLE,controls_skin.gd,20,16,358,,Are you sure?,[Áré yóú súré?·ëxtràl]
CONFIRM_BINDS_YES,controls_skin.gd,16,13,160,,Set to default,[Sét tó défáúlt·ëxtràl]
CONFIRM_BINDS_NO,controls_skin.gd,16,13,160,,Keep current,[Kéép çúrréñt·ëxtrà]
VERB_WALK_UP,binds.gd,16,13,300,,Walk up,[Wálk úp·ëxt]
VERB_WALK_DOWN,binds.gd,16,13,300,,Walk down,[Wálk dówñ·ëxtr]
VERB_WALK_LEFT,binds.gd,16,13,300,,Walk left,[Wálk léft·ëxtr]
VERB_WALK_RIGHT,binds.gd,16,13,300,,Walk right,[Wálk ríght·ëxtr]
VERB_CAST,binds.gd,16,13,300,,Cast the net,[Çást thé ñét·ëxtrà]
VERB_LAY_NET,binds.gd,16,13,300,,Lay a lit net,[Láy á lít ñét·ëxtràl]
VERB_INTERACT,binds.gd,16,13,300,,Interact,[Íñtéráçt·ëxtr]
VERB_OPEN_SHED,binds.gd,16,13,300,,Open the shed,[Ópéñ thé shéd·ëxtràl]
VERB_OPEN_UPGRADES,binds.gd,16,13,300,,Open the upgrades,[Ópéñ thé úpgrádés·ëxtràló]
VERB_OPEN_SETTINGS,binds.gd,16,13,300,,Open the settings,[Ópéñ thé séttíñgs·ëxtràló]
VERB_ZOOM_IN,binds.gd,16,13,300,,Zoom in,[Zóóm íñ·ëxt]
VERB_ZOOM_OUT,binds.gd,16,13,300,,Zoom out,[Zóóm óút·ëxtr]
VERB_RECENTRE,binds.gd,16,13,300,,Look at the angler,[Lóók át thé áñglér·ëxtràlón]
VERB_SHED_ROTATE,binds.gd,16,13,300,,Turn the piece,[Túrñ thé píéçé·ëxtràl]
VERB_SHED_SWITCH,binds.gd,16,13,300,,Work a switch,[Wórk á swítçh·ëxtràl]
BIND_GROUP_MOVE,binds.gd,13,11,300,Heading on the controls board.,Move,[Móvé·ëx]
BIND_GROUP_NET,binds.gd,13,11,300,Heading on the controls board.,Net,[Ñét·ëx]
BIND_GROUP_OPEN,binds.gd,13,11,300,Heading on the controls board.,Open,[Ópéñ·ëx]
BIND_GROUP_VIEW,binds.gd,13,11,300,Heading on the controls board.,View,[Víéw·ëx]
BIND_GROUP_SHED,binds.gd,13,11,300,Heading on the controls board.,In the shed,[Íñ thé shéd·ëxtrà]
BIND_STICK,binds.gd,13,11,140,,Left stick,[Léft stíçk·ëxtr]
SHOP_BOARD_NET,shop_skin.gd,20,13,180,A board's title plank. Drawn in capitals.,Net,[Ñét·ëx]
SHOP_BOARD_BOATS,shop_skin.gd,20,13,180,A board's title plank. Drawn in capitals.,Boats,[Bóáts·ëx]
SHOP_BOARD_DOGS,shop_skin.gd,20,13,180,A board's title plank. Drawn in capitals.,Dogs,[Dógs·ëx]
SHOP_BOARD_LUCK,shop_skin.gd,20,13,180,A board's title plank. Drawn in capitals.,Luck,[Lúçk·ëx]
SHOP_GROUP_RUN,shop_skin.gd,13,11,200,,The run,[Thé rúñ·ëxt]
SHOP_GROUP_FLEET,shop_skin.gd,13,11,200,,The fleet,[Thé fléét·ëxtr]
SHOP_GROUP_PACK,shop_skin.gd,13,11,200,,The pack,[Thé páçk·ëxtr]
SHOP_GROUP_TRIP,shop_skin.gd,13,11,200,,The trip,[Thé tríp·ëxtr]
SHOP_GROUP_ON_CAST,shop_skin.gd,13,11,200,,On a cast,[Óñ á çást·ëxtr]
SHOP_GROUP_AT_YARDS,shop_skin.gd,13,11,200,,At the yards,[Át thé yárds·ëxtrà]
TRACK_NET_WIDTH,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Width,[Wídth·ëx]
TRACK_NET_STRENGTH,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Strength,[Stréñgth·ëxtr]
TRACK_NET_RANGE,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Range,[Ráñgé·ëx]
TRACK_REEL,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Reel,[Réél·ëx]
TRACK_NET_HOLD,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Catch,[Çátçh·ëx]
TRACK_BOAT_SPEED,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Sailing,[Sáílíñg·ëxt]
TRACK_CARGO,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Hold,[Hóld·ëx]
TRACK_BOAT_VOLLEY,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Loading,[Lóádíñg·ëxt]
TRACK_FLEET,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Fleet,[Fléét·ëx]
TRACK_DOG_COUNT,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Pack,[Páçk·ëx]
TRACK_DOG_STRENGTH,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Carry,[Çárry·ëx]
TRACK_DOG_FETCH,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Fetch,[Fétçh·ëx]
TRACK_DOG_WAIT,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Keenness,[Kééññéss·ëxtr]
TRACK_RECYCLE_BONUS,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Bonus yard,[Bóñús yárd·ëxtr]
TRACK_BIRD_WORTH,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Pigeons,[Pígéóñs·ëxt]
TRACK_LUCKY_HAUL,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Lucky cast,[Lúçky çást·ëxtr]
TRACK_DOUBLE_CAST,lake.gd,16,11,87,An upgrade's name. All 17 must stay different words.,Double cast,[Dóúblé çást·ëxtrà]
BLURB_NET_WIDTH,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".","How wide the net's mouth opens, so one cast covers more water.","[Hów wídé thé ñét's móúth ópéñs, só óñé çást çóvérs móré wátér.·ëxtràlóngëxtràlóngëxtràló]"
BLURB_NET_STRENGTH,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",The heaviest weight tier the net can lift.,[Thé héávíést wéíght tíér thé ñét çáñ líft.·ëxtràlóngëxtràlón]
BLURB_NET_RANGE,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",How far from the shore the angler can throw.,[Hów fár fróm thé shóré thé áñglér çáñ thrów.·ëxtràlóngëxtràlóng]
BLURB_REEL,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",How fast the net is reeled back in.,[Hów fást thé ñét ís rééléd báçk íñ.·ëxtràlóngëxtrà]
BLURB_NET_HOLD,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",How many pieces one cast can carry home.,[Hów máñy píéçés óñé çást çáñ çárry hómé.·ëxtràlóngëxtràló]
BLURB_BOAT_SPEED,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",How fast the ferry sails between the island and the yards.,[Hów fást thé férry sáíls bétwééñ thé ísláñd áñd thé yárds.·ëxtràlóngëxtràlóngëxtràl]
BLURB_CARGO,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",How many pieces the ferry carries a trip.,[Hów máñy píéçés thé férry çárríés á tríp.·ëxtràlóngëxtràlón]
BLURB_BOAT_VOLLEY,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",How quickly a ferry throws its load aboard and into the yard's box.,[Hów qúíçkly á férry thróws íts lóád ábóárd áñd íñtó thé yárd's bóx.·ëxtràlóngëxtràlóngëxtràlóng]
BLURB_FLEET,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",Another ferry in the water.,[Áñóthér férry íñ thé wátér.·ëxtràlóngëx]
BLURB_DOG_COUNT,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".","Another dog for the pack, trained like the first.","[Áñóthér dóg fór thé páçk, tráíñéd líké thé fírst.·ëxtràlóngëxtràlóngëx]"
